straight_queer,young_old,masculine_feminine,rich_poor
straight_queer (1.0),young_old (1.0),masculine_feminine (1.0),rich_poor (1.0)
androgynous_gendered (-0.37),whippersnapper_sage (0.18),feminist_sexist (-0.25),proletariat_bourgeoisie (-0.3)
macho_metrosexual (0.13),gamer_non-gamer (0.15),macho_metrosexual (0.22),oppressed_privileged (-0.25)
musical_off-key (-0.1),celebrity_boy/girl-next-door (-0.14),giggling_chortling (-0.18),blue-collar_ivory-tower (-0.2)
open-minded_close-minded (-0.09),attractive_repulsive (0.14),cat-person_dog-person (-0.18),celebrity_boy/girl-next-door (0.1)
modest_flamboyant (0.09),juvenile_mature (0.13),chic_cheesy (-0.13),frugal_lavish (-0.1)
cat-person_dog-person (-0.09),vibrant_geriatric (0.12),glamorous_spartan (-0.13),good-cook_bad-cook (0.09)
focused-on-the-present_focused-on-the-future (-0.08),slow-talking_fast-talking (-0.11),chivalrous_businesslike (0.12),sickly_healthy (0.09)
hugs_handshakes (0.08),rap_rock (0.11),goth_flower-child (0.11),unlucky_fortunate (-0.09)
kinky_vanilla (-0.08),modern_historical (0.11),creepy_disarming (-0.11),entrepreneur_employee (0.09)
pronatalist_child-free (0.08),apprentice_master (0.11),narcissistic_low-self-esteem (0.1),open-minded_close-minded (0.09)
