ID,scale
BAP1,playful_serious
BAP2,shy_bold
BAP3,cheery_sorrowful
BAP4,masculine_feminine
BAP5,charming_awkward
BAP6,lewd_tasteful
BAP7,intellectual_physical
BAP8,strict_lenient
BAP9,refined_rugged
BAP10,trusting_suspicious
BAP11,innocent_worldly
BAP12,artistic_scientific
BAP13,stoic_expressive
BAP14,cunning_honorable
BAP15,orderly_chaotic
BAP16,normal_weird
BAP17,competitive_cooperative
BAP18,tense_relaxed
BAP19,brave_careful
BAP20,spiritual_skeptical
BAP21,unlucky_fortunate
BAP22,ferocious_pacifist
BAP23,modest_flamboyant
BAP24,dominant_submissive
BAP25,forgiving_vengeful
BAP26,wise_foolish
BAP27,impulsive_cautious
BAP28,loyal_traitorous
BAP29,creative_conventional
BAP30,curious_apathetic
BAP31,rude_respectful
BAP32,diligent_lazy
BAP33,lustful_chaste
BAP34,chatty_reserved
BAP35,emotional_logical
BAP36,moody_stable
BAP37,dunce_genius
BAP38,arrogant_humble
BAP39,heroic_villainous
BAP40,attractive_repulsive
BAP41,rational_whimsical
BAP42,mischievous_well-behaved
BAP43,aloof_obsessed
BAP44,indulgent_sober
BAP45,kinky_vanilla
BAP46,straightforward_cryptic
BAP47,spontaneous_deliberate
BAP48,libertarian_socialist
BAP49,scheduled_spontaneous
BAP50,works-hard_plays-hard
BAP51,reasoned_instinctual
BAP52,focused-on-the-present_focused-on-the-future
BAP53,empirical_theoretical
BAP54,open_guarded
BAP55,methodical_astonishing
BAP56,mighty_puny
BAP57,bossy_meek
BAP58,barbaric_civilized
BAP59,gregarious_private
BAP60,quiet_loud
BAP61,political_nonpolitical
BAP62,confident_insecure
BAP63,democratic_authoritarian
BAP64,debased_pure
BAP65,fast_slow
BAP66,frugal_lavish
BAP67,ludicrous_sensible
BAP68,orange_purple
BAP69,tall_short
BAP70,young_old
BAP71,down2earth_headinclouds
BAP72,extrovert_introvert
BAP73,open-to-new-experinces_uncreative
BAP74,calm_anxious
BAP75,disorganized_self-disciplined
BAP76,quarrelsome_warm
BAP77,nerd_jock
BAP78,lowbrow_highbrow
BAP79,selfish_altruistic
BAP80,autistic_neurotypical
BAP81,angelic_demonic
BAP82,hesitant_decisive
BAP83,devout_heathen
BAP84,cruel_kind
BAP85,direct_roundabout
BAP86,mathematical_literary
BAP87,blue-collar_ivory-tower
BAP88,slovenly_stylish
BAP89,playful_shy
BAP90,serious_bold
BAP91,charming_trusting
BAP92,awkward_suspicious
BAP93,hipster_basic
BAP94,coordinated_clumsy
BAP95,funny_humorless
BAP96,politically-correct_edgy
BAP97,rich_poor
BAP98,hard_soft
BAP99,remote_involved
BAP100,metaphorical_literal
BAP101,biased_impartial
BAP102,mundane_extraordinary
BAP103,tiresome_interesting
BAP104,smooth_rough
BAP105,spicy_mild
BAP106,enslaved_emancipated
BAP107,optimistic_pessimistic
BAP108,sickly_healthy
BAP109,luddite_technophile
BAP110,vain_demure
BAP111,high-tech_low-tech
BAP112,flexible_rigid
BAP113,cosmopolitan_provincial
BAP114,arcane_mainstream
BAP115,outlaw_sheriff
BAP116,pronatalist_child-free
BAP117,sad_happy
BAP118,jealous_compersive
BAP119,bitter_sweet
BAP120,resigned_resistant
BAP121,sarcastic_genuine
BAP122,human_animalistic
BAP123,sporty_bookish
BAP124,moderate_extreme
BAP125,angry_good-humored
BAP126,depressed_bright
BAP127,self-conscious_self-assured
BAP128,vulnerable_armoured
BAP129,warm_cold
BAP130,assertive_passive
BAP131,active_slothful
BAP132,imaginative_practical
BAP133,adventurous_stick-in-the-mud
BAP134,obedient_rebellious
BAP135,competent_incompetent
BAP136,unambitious_driven
BAP137,simple_complicated
BAP138,proletariat_bourgeoisie
BAP139,alpha_beta
BAP140,right-brained_left-brained
BAP141,thick-skinned_sensitive
BAP142,charismatic_uninspiring
BAP143,feisty_gracious
BAP144,eloquent_unpolished
BAP145,high-IQ_low-IQ
BAP146,insider_outsider
BAP147,morning-lark_night-owl
BAP148,thin_thick
BAP149,sheeple_conspiracist
BAP150,neat_messy
BAP151,vague_precise
BAP152,philosophical_real
BAP153,modern_historical
BAP154,judgemental_accepting
BAP155,average_deviant
BAP156,gossiping_confidential
BAP157,official_backdoor
BAP158,scholarly_crafty
BAP159,leisurely_hurried
BAP160,explorer_builder
BAP161,captain_first-mate
BAP162,mysterious_unambiguous
BAP163,independent_codependent
BAP164,family-first_work-first
BAP165,scruffy_manicured
BAP166,wild_tame
BAP167,prestigious_disreputable
BAP168,scandalous_proper
BAP169,unprepared_hoarder
BAP170,sheltered_street-smart
BAP171,open-minded_close-minded
BAP172,permanent_transient
BAP173,dramatic_no-nonsense
BAP174,apprentice_master
BAP175,straight_queer
BAP176,androgynous_gendered
BAP177,repetitive_varied
BAP178,patient_impatient
BAP179,poisonous_nurturing
BAP180,creepy_disarming
BAP181,inspiring_cringeworthy
BAP182,soulless_soulful
BAP183,hard_soft
BAP184,beautiful_ugly
BAP185,domestic_industrial
BAP186,juvenile_mature
BAP187,idealist_realist
BAP188,nihilist_existentialist
BAP189,objective_subjective
BAP190,theist_atheist
BAP191,classical_avant-garde
BAP192,utilitarian_decorative
BAP193,generalist_specialist
BAP194,multicolored_monochrome
BAP195,complimentary_insulting
BAP196,individualist_communal
BAP197,equitable_hypocritical
BAP198,traditional_unorthodox
BAP199,workaholic_slacker
BAP200,resourceful_helpless
BAP201,crazy_sane
BAP202,anarchist_statist
BAP203,cool_dorky
BAP204,important_irrelevant
BAP205,noob_pro
BAP206,deranged_reasonable
BAP207,rural_urban
BAP208,introspective_not-introspective
BAP209,city-slicker_country-bumpkin
BAP210,western_eastern
BAP211,mad_glad
BAP212,social_reclusive
BAP213,studious_goof-off
BAP214,slugabed_go-getter
BAP215,penny-pincher_overspender
BAP216,liberal_conservative
BAP217,unassuming_pretentious
BAP218,persistent_quitter
BAP219,hedonist_monastic
